X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
401106.560000002,138047.66,25041315,2025/03/22 20:13:13+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1700 - 1799 BLOCK OF CAPITOL AVENUE NE,401106.56,138047.66,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,38.9102900689,-76.9872415225,,2025/03/22 19:14:00+00,2025/03/22 19:32:00+00,710892067,
399037.719999999,128205.239999998,25041893,2025/03/23 21:17:35+00,EVENING,KNIFE,ROBBERY,4660 - 4699 BLOCK OF MARTIN LUTHER KING JR AVENUE SW,399037.72,128205.24,8,8D,7,708,Cluster 39,010900 1,010900,Precinct 126,38.8216256757,-77.0110811748,,2025/03/23 19:39:00+00,2025/03/23 21:00:00+00,710892068,
399963.280000001,144021.850000001,25042451,2025/03/24 22:23:04+00,EVENING,OTHERS,THEFT/OTHER,6100 - 6115 BLOCK OF EASTERN AVENUE NE,399963.28,144021.85,4,4B,4,406,Cluster 19,009505 1,009505,Precinct 65,38.9641080378,-77.000423696,,2025/03/24 20:46:00+00,2025/03/24 21:28:00+00,710892069,
392655.18,143120.260000002,25042516,2025/03/24 22:52:21+00,EVENING,OTHERS,THEFT F/AUTO,4300 - 4399 BLOCK OF GARRISON STREET NW,392655.18,143120.26,3,3E,2,202,Cluster 11,001004 1,001004,Precinct 31,38.955955576,-77.0847389839,FRIENDSHIP HEIGHTS,2025/03/24 21:41:00+00,2025/03/24 22:27:00+00,710892070,
399351.439999998,137425.960000001,25043304,2025/03/26 08:14:37+00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,1 - 99 BLOCK OF PIERCE STREET NE,399351.44,137425.96,6,6E,5,501,Cluster 25,010603 3,010603,Precinct 144,38.9046900373,-77.0074772164,NOMA,2025/03/26 06:10:00+00,2025/03/26 07:20:00+00,710892071,
396522.700000003,137709.93,25043888,2025/03/27 07:14:24+00,MIDNIGHT,GUN,THEFT F/AUTO,1700 - 1799 BLOCK OF N STREET NW,396522.7,137709.93,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 15,38.9072414989,-77.0400910561,,2025/03/27 06:10:00+00,2025/03/27 07:00:00+00,710892072,
396830.43,137253.620000001,25044151,2025/03/27 20:51:23+00,EVENING,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF 16TH STREET NW,396830.43,137253.62,2,2C,2,207,Cluster 6,010100 1,010100,Precinct 17,38.9031320626,-77.0365410195,DOWNTOWN,2025/03/27 19:18:00+00,2025/03/27 19:20:00+00,710892073,
396424.619999997,139098.719999999,25044234,2025/03/27 21:40:10+00,EVENING,OTHERS,THEFT/OTHER,1740 - 1799 BLOCK OF KALORAMA ROAD NW,396424.62,139098.72,1,1C,3,303,Cluster 1,003801 2,003801,Precinct 24,38.9197517917,-77.0412290874,ADAMS MORGAN,2025/03/27 21:31:00+00,2025/03/27 21:33:00+00,710892074,
398536.530000001,134534.870000001,25045094,2025/03/29 07:18:00+00,MIDNIGHT,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF MAPLE DRIVE SW,398536.53,134534.87,6,6D,1,105,Cluster 9,010201 2,010201,Precinct 128,38.8786450452,-77.0168661154,SOUTHWEST,2025/03/29 06:05:00+00,2025/03/29 07:00:00+00,710892075,
401295.1567,134700.6864,25045185,2025/03/29 13:19:11+00,DAY,OTHERS,MOTOR VEHICLE THEFT,POTOMAC AVENUE SE AND PENNSYLVANIA AVENUE SE,401295.15673516,134700.68639443,6,6B,1,106,Cluster 26,007100 3,007100,Precinct 91,38.8801390482,-76.9850733392,CAPITOL HILL,2025/03/29 12:30:00+00,,710892076,
398099.359999999,138387.309999999,25045392,2025/03/29 20:43:14+00,EVENING,OTHERS,THEFT F/AUTO,1700 - 1799 BLOCK OF 7TH STREET NW,398099.36,138387.31,2,2G,3,307,Cluster 7,004901 1,004901,Precinct 21,38.9133483927,-77.0219150455,,2025/03/27 17:00:00+00,2025/03/28 02:00:00+00,710892077,
400832.880000003,139676.359999999,25047060,2025/04/01 16:54:00+00,DAY,OTHERS,THEFT F/AUTO,2700 - 2799 BLOCK OF 12TH STREET NE,400832.88,139676.36,5,5B,5,504,Cluster 22,009302 1,009302,Precinct 73,38.9249622371,-76.9903950376,,2025/04/01 16:10:00+00,2025/04/01 16:54:00+00,710892078,
407727.189599998,136182.366999999,25047440,2025/04/02 06:15:20+00,MIDNIGHT,OTHERS,BURGLARY,300 - 399 BLOCK OF 63RD STREET NE,407727.189637124,136182.366971808,7,7C,6,608,Cluster 31,007808 2,007808,Precinct 96,38.8934535832,-76.9109276278,,2025/04/02 03:33:00+00,2025/04/02 06:00:00+00,710892079,
400867.100000001,132951.289999999,25047723,2025/04/02 21:47:22+00,EVENING,OTHERS,THEFT/OTHER,2200 - 2224 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400867.1,132951.29,8,8A,7,701,Cluster 28,007503 1,007503,Precinct 114,38.8643803084,-76.9900088928,ANACOSTIA,2025/04/02 18:49:00+00,2025/04/02 19:13:00+00,710892080,
397242.93,140587.699999999,25047800,2025/04/02 21:33:06+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF MERIDIAN PLACE NW,397242.93,140587.7,1,1A,4,408,Cluster 2,002900 2,002900,Precinct 41,38.9331679397,-77.0317988206,,2025/04/02 19:43:00+00,2025/04/02 19:44:00+00,710892081,
402411.784699999,131808.620000001,25048640,2025/04/04 05:34:58+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,2300 - 2499 BLOCK OF HARTFORD STREET SE,402411.784736191,131808.620023749,8,8B,7,702,Cluster 36,007408 2,007408,Precinct 115,38.8540837761,-76.9722143649,,2025/04/04 04:41:00+00,2025/04/04 05:30:00+00,710892082,
397963.460000001,140327.73,25048959,2025/04/04 20:37:05+00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,3215 - 3298 BLOCK OF GEORGIA AVENUE NW,397963.46,140327.73,1,1E,4,409,Cluster 2,003200 3,003200,Precinct 38,38.9308280161,-77.0234877766,,2025/04/04 19:25:00+00,2025/04/04 20:07:00+00,710892083,
400790.706799999,134964.919199999,25049699,2025/04/06 04:10:19+00,MIDNIGHT,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF PENNSYLVANIA AVENUE SE,400790.706814687,134964.919162678,6,6B,1,106,Cluster 26,007100 2,007100,Precinct 91,38.8825199578,-76.9908868125,CAPITOL HILL,2025/04/05 19:28:00+00,2025/04/05 19:29:00+00,710892084,
404541.469999999,136535.379999999,25050244,2025/04/07 05:44:28+00,MIDNIGHT,OTHERS,THEFT/OTHER,4000 - 4121 BLOCK OF MINNESOTA AVENUE NE,404541.47,136535.38,7,7F,6,602,Cluster 30,007803 1,007803,Precinct 99,38.8966558827,-76.9476475094,,2025/04/07 04:00:00+00,2025/04/07 05:05:00+00,710892085,
397430.659999996,136664.370000001,25051212,2025/04/08 23:15:28+00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 13TH STREET NW,397430.66,136664.37,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,38.8978258475,-77.0296189448,DOWNTOWN,2025/04/08 22:26:00+00,2025/04/08 23:00:00+00,710892086,
397318.159999996,139543.859999999,25051277,2025/04/09 01:40:38+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF EUCLID STREET NW,397318.16,139543.86,1,1B,3,304,Cluster 2,003600 1,003600,Precinct 23,38.9237649373,-77.0309270726,,2025/04/09 00:21:00+00,2025/04/09 00:25:00+00,710892087,
402493.725199997,131260.963500001,25051365,2025/04/09 09:41:51+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3266 - 3399 BLOCK OF 23RD STREET SE,402493.725248267,131260.963543241,8,8E,7,704,Cluster 38,007403 2,007403,Precinct 116,38.849150021,-76.971272332,,2025/04/09 08:00:00+00,2025/04/09 09:28:00+00,710892088,
404253.390000001,136093.870000001,25052233,2025/04/10 23:52:52+00,EVENING,OTHERS,THEFT/OTHER,3806 - 3843 BLOCK OF MINNESOTA AVENUE NE,404253.39,136093.87,7,7F,6,603,Cluster 32,009603 3,009603,Precinct 102,38.8926800402,-76.9509711286,,2025/04/10 22:07:00+00,2025/04/10 23:13:00+00,710892480,
397001.240000002,137426.670000002,25052265,2025/04/10 23:29:02+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF 15TH STREET NW,397001.24,137426.67,2,2C,2,207,Cluster 6,010100 1,010100,Precinct 17,38.9046915572,-77.0345725582,DOWNTOWN,2025/04/10 21:55:00+00,2025/04/10 23:00:00+00,710892481,
397700.240000002,137185.57,25052687,2025/04/12 02:39:50+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1000 - 1099 BLOCK OF K STREET NW,397700.24,137185.57,2,2C,2,209,Cluster 8,010100 2,010100,Precinct 129,38.9025217502,-77.0265130144,DOWNTOWN,2025/04/11 19:00:00+00,2025/04/11 19:30:00+00,710892482,
400643.560000002,138931.920000002,25053107,2025/04/12 17:45:39+00,DAY,OTHERS,THEFT F/AUTO,901 - 1098 BLOCK OF BRENTWOOD ROAD NE,400643.56,138931.92,5,5C,5,505,Cluster 22,009102 4,009102,Precinct 72,38.9182562402,-76.992579017,,2025/04/12 15:00:00+00,2025/04/12 15:15:00+00,710892483,
397991.630000003,140078.370000001,25053572,2025/04/13 15:13:08+00,DAY,GUN,ROBBERY,3000 - 3099 BLOCK OF GEORGIA AVENUE NW,397991.63,140078.37,1,1E,4,409,Cluster 2,003200 4,003200,Precinct 38,38.928581769,-77.0231621573,,2025/04/13 14:06:00+00,2025/04/13 15:15:00+00,710892484,
399512.609999999,131167.460000001,25053720,2025/04/14 03:40:50+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,2800 - 2899 BLOCK OF 2ND STREET SE,399512.61,131167.46,8,8C,7,707,Cluster 39,010400 2,010400,Precinct 123,38.8483110998,-77.0056146576,,2025/04/13 20:48:00+00,2025/04/13 21:46:00+00,710892485,
399421.399999999,134605.699999999,25054124,2025/04/14 17:30:41+00,DAY,OTHERS,THEFT F/AUTO,70 - 101 BLOCK OF I STREET SE,399421.4,134605.7,6,8F,1,106,Cluster 27,007202 3,007202,Precinct 131,38.8792841371,-77.0066682759,CAPITOL RIVERFRONT,2025/03/27 20:00:00+00,2025/03/27 21:00:00+00,710892486,
406939.520000003,136829.359999999,25054506,2025/04/15 12:45:41+00,DAY,OTHERS,THEFT F/AUTO,5500 - 5599 BLOCK OF JAY STREET NE,406939.52,136829.36,7,7C,6,608,Cluster 31,007807 1,007807,Precinct 95,38.8992885003,-76.9200006629,,2025/04/15 00:00:00+00,2025/04/15 11:40:00+00,710892487,
399351.539999999,137184.600000001,25054590,2025/04/15 18:36:49+00,DAY,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF K STREET NE,399351.54,137184.6,6,6E,5,501,Cluster 25,010603 3,010603,Precinct 144,38.9025157814,-77.0074758356,NOMA,2025/04/13 15:00:00+00,2025/04/13 19:45:00+00,710892488,
397008.030000001,142085.43,25421027,2025/03/21 11:32:21+00,DAY,OTHERS,THEFT/OTHER,4600 - 4699 BLOCK OF 15TH STREET NW,397008.03,142085.43,4,4E,4,404,Cluster 18,002501 2,002501,Precinct 48,38.9466591592,-77.0345145836,,2025/02/26 14:30:00+00,2025/02/26 16:05:00+00,710892493,
404228.137999997,132942.3138,25421203,2025/04/10 11:31:12+00,DAY,OTHERS,THEFT/OTHER,3800 - 3899 BLOCK OF V STREET SE,404228.138049877,132942.313848801,7,7B,6,606,Cluster 35,007603 1,007603,Precinct 110,38.8642897114,-76.9512815954,,2025/03/24 21:00:00+00,2025/03/25 11:00:00+00,710892494,
399489.420000002,137252.09,25048047,2025/04/03 08:51:18+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1000 - 1099 BLOCK OF 1ST STREET NE,399489.42,137252.09,6,6E,5,501,Cluster 25,010603 3,010603,Precinct 144,38.9031238461,-77.0058863225,NOMA,2025/04/03 07:25:00+00,,710893073,
405399.579999998,136048.809999999,25048154,2025/04/06 02:35:39+00,EVENING,OTHERS,THEFT F/AUTO,200 - 215 BLOCK OF 45TH STREET NE,405399.58,136048.81,7,7F,6,602,Cluster 33,007803 3,007803,Precinct 98,38.8922678305,-76.9377593421,,2025/04/03 14:26:00+00,,710893074,
396200.380000003,139220.57,25048241,2025/04/03 17:31:29+00,DAY,OTHERS,THEFT/OTHER,1851 - 1875 BLOCK OF COLUMBIA ROAD NW,396200.38,139220.57,1,1C,3,303,Cluster 1,004002 1,004002,Precinct 25,38.9208485151,-77.0438155595,ADAMS MORGAN,2025/04/03 16:49:00+00,2025/04/03 17:20:00+00,710893075,
402094.07,132953.140000001,25048805,2025/04/04 16:48:32+00,DAY,OTHERS,THEFT F/AUTO,1907 - 2329 BLOCK OF MARION BARRY AVENUE SE,402094.07,132953.14,8,8A,7,701,Cluster 28,007504 1,007504,Precinct 114,38.8643949084,-76.9758712003,,2025/04/02 06:00:00+00,2025/04/02 14:00:00+00,710893076,
398835.469999999,142645.16,25049592,2025/04/06 21:28:38+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,5000 - 5099 BLOCK OF 2ND STREET NW,398835.47,142645.16,4,4D,4,407,Cluster 18,002202 1,002202,Precinct 57,38.9517056847,-77.0134346644,,2025/04/05 19:55:00+00,2025/04/05 21:34:00+00,710893077,
399297.590000004,129653.210000001,25050688,2025/04/08 01:47:55+00,EVENING,GUN,ROBBERY,3800 - 3845 BLOCK OF SOUTH CAPITOL STREET,399297.59,129653.21,8,8D,7,707,Cluster 39,009803 3,009803,Precinct 124,38.8346699119,-77.0080901089,,2025/04/07 23:05:00+00,2025/04/08 00:32:00+00,710893467,
397564.060000002,136801.670000002,25050851,2025/04/08 12:59:51+00,DAY,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF 12TH STREET NW,397564.06,136801.67,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,38.8990630752,-77.0280816177,DOWNTOWN,2025/04/08 12:07:00+00,2025/04/08 13:00:00+00,710893468,
399653.880000003,143788.920000002,25051379,2025/04/09 11:20:01+00,DAY,OTHERS,MOTOR VEHICLE THEFT,200 - 299 BLOCK OF ONEIDA STREET NE,399653.88,143788.92,4,4B,4,406,Cluster 19,009505 1,009505,Precinct 65,38.9620096784,-77.0039936097,,2025/04/09 07:50:00+00,2025/04/09 07:55:00+00,710893881,
399531.539999999,134674.780000001,25052163,2025/04/10 20:59:32+00,EVENING,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF NEW JERSEY AVENUE SE,399531.54,134674.78,6,8F,1,106,Cluster 27,007202 3,007202,Precinct 131,38.8799065024,-77.0053989764,CAPITOL RIVERFRONT,2025/04/10 18:16:00+00,2025/04/10 20:00:00+00,710893882,
402659.770400003,131024.143199999,25052954,2025/04/12 07:35:22+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3400 - 3465 BLOCK OF 25TH STREET SE,402659.770432421,131024.143223021,8,8E,7,704,Cluster 38,007409 1,007409,Precinct 116,38.8470161534,-76.9693604104,,2025/04/12 06:56:00+00,2025/04/12 07:35:00+00,710893883,
402530.270000003,136674.149999999,25054006,2025/04/14 15:33:38+00,DAY,GUN,ROBBERY,2500 - 2598 BLOCK OF BENNING ROAD NE,402530.27,136674.15,7,7D,5,507,Cluster 25,007903 1,007903,Precinct 80,38.8979140626,-76.9708314119,,2025/04/14 12:16:00+00,2025/04/14 14:30:00+00,710893884,
404819.579999998,133531.219700001,25054681,2025/04/15 22:15:17+00,EVENING,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF 41ST STREET SE,404819.580002426,133531.219673348,7,7B,6,605,Cluster 34,009902 2,009902,Precinct 110,38.8695917735,-76.9444626231,,2025/04/14 22:30:00+00,2025/04/15 00:30:00+00,710893885,
398100.75,139069.16,25054712,2025/04/15 20:52:15+00,EVENING,OTHERS,THEFT/OTHER,2200 - 2299 BLOCK OF GEORGIA AVENUE NW,398100.75,139069.16,1,1E,3,306,Cluster 3,003400 2,003400,Precinct 37,38.9194907264,-77.0219009044,,2025/04/15 19:59:00+00,2025/04/15 20:22:00+00,710893886,
398010.0,137782.890000001,25421004,2025/03/20 12:30:58+00,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF 8TH STREET NW,398010,137782.89,2,2G,3,307,Cluster 7,004902 1,004902,Precinct 18,38.9079033735,-77.022943646,,2025/03/16 21:45:00+00,2025/03/17 12:40:00+00,710893892,
397511.82,141139.739999998,25421081,2025/03/28 00:01:22+00,EVENING,OTHERS,THEFT F/AUTO,3800 - 3899 BLOCK OF KANSAS AVENUE NW,397511.82,141139.74,4,4C,4,404,Cluster 18,002503 2,002503,Precinct 47,38.9381416836,-77.0286995647,,2025/03/16 11:15:00+00,2025/03/17 11:20:00+00,710893893,
401872.469999999,141994.620000001,25421137,2025/04/04 11:32:23+00,DAY,OTHERS,THEFT F/AUTO,1860 - 1949 BLOCK OF MICHIGAN AVENUE NE,401872.47,141994.62,5,5B,5,503,Cluster 20,009400 1,009400,Precinct 69,38.9458442168,-76.9783999229,,2025/03/07 21:45:00+00,2025/03/07 21:50:00+00,710893894,
405355.931900002,136876.98,25421236,2025/04/11 12:01:06+00,DAY,OTHERS,THEFT/OTHER,4400 - 4499 BLOCK OF HAYES STREET NE,405355.931874923,136876.980028452,7,7C,6,602,Cluster 30,007804 1,007804,Precinct 98,38.8997285536,-76.9382560148,,2025/03/18 22:47:00+00,2025/03/19 01:00:00+00,710893895,
398758.710000001,145213.059999999,25053253,2025/04/12 23:15:18+00,EVENING,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF CARROLL STREET NW,398758.71,145213.06,4,4B,4,401,Cluster 17,001702 2,001702,Precinct 63,38.9748378665,-77.014324859,,2025/04/12 21:49:00+00,2025/04/12 22:15:00+00,710894146,
401329.960000001,136952.640000001,25053275,2025/04/12 23:33:19+00,EVENING,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF FLORIDA AVENUE NE,401329.96,136952.64,5,5D,5,506,Cluster 23,008802 2,008802,Precinct 77,38.9004254362,-76.9846678731,,2025/04/10 15:16:00+00,2025/04/10 15:20:00+00,710894147,
397963.469999999,136595.5,25053341,2025/04/13 10:04:25+00,MIDNIGHT,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF F STREET NW,397963.47,136595.5,2,2C,1,101,Cluster 8,005802 5,005802,Precinct 129,38.8972068375,-77.0234765916,DOWNTOWN,2025/04/13 00:35:00+00,2025/04/13 02:34:00+00,710894148,
398010.079999998,138818.940000001,25039557,2025/03/20 20:25:50+00,EVENING,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 8TH STREET NW,398010.08,138818.94,1,1B,3,305,Cluster 3,003500 3,003500,Precinct 37,38.917236462,-77.0229457261,,2025/03/19 16:37:00+00,2025/03/19 17:01:00+00,710894318,
394450.619999997,137863.91,25040251,2025/03/21 01:31:13+00,EVENING,OTHERS,THEFT/OTHER,1401 - 1498 BLOCK OF WISCONSIN AVENUE NW,394450.62,137863.91,2,2E,2,206,Cluster 4,000102 2,000102,Precinct 5,38.9086179637,-77.0639820577,GEORGETOWN,2025/03/20 17:05:00+00,2025/03/20 19:53:00+00,710894319,
401728.259999998,138813.539999999,25040456,2025/03/21 03:09:59+00,MIDNIGHT,OTHERS,THEFT/OTHER,1600 - 1779 BLOCK OF NEW YORK AVENUE NE,401728.26,138813.54,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9171883705,-76.9800714834,,2025/03/21 03:08:00+00,2025/03/21 03:08:00+00,710894320,
397609.899999999,138792.68,25042122,2025/03/24 11:24:07+00,DAY,OTHERS,THEFT F/AUTO,1100 - 1199 BLOCK OF U STREET NW,397609.9,138792.68,1,1B,3,305,Cluster 3,004402 1,004402,Precinct 22,38.916998906,-77.0275601016,,2025/03/24 05:40:00+00,2025/03/24 08:56:00+00,710894321,
401165.200000003,139245.530000001,25042821,2025/03/25 17:38:20+00,DAY,OTHERS,THEFT F/AUTO,1326 - 1399 BLOCK OF BRYANT STREET NE,401165.2,139245.53,5,5C,5,505,Cluster 22,009102 3,009102,Precinct 72,38.9210808046,-76.9865633789,,2025/03/23 16:00:00+00,2025/03/24 11:00:00+00,710894322,
398080.310000002,139773.760000002,25043147,2025/03/26 02:18:29+00,EVENING,OTHERS,THEFT F/AUTO,600 - 699 BLOCK OF GIRARD STREET NW,398080.31,139773.76,1,1E,3,306,Cluster 3,003400 4,003400,Precinct 37,38.925837945,-77.0221385755,,2025/03/25 23:10:00+00,2025/03/25 23:42:00+00,710894323,
400246.539999999,139229.039999999,25043337,2025/03/26 11:54:28+00,DAY,OTHERS,THEFT F/AUTO,500 - 799 BLOCK OF RHODE ISLAND AVENUE NE,400246.54,139229.04,5,5F,5,502,Cluster 21,009204 2,009204,Precinct 74,38.9209329952,-76.9971570051,,2025/03/24 22:00:00+00,2025/03/24 23:50:00+00,710894324,
397577.630000003,143785.940000001,25045590,2025/03/30 03:50:06+00,MIDNIGHT,OTHERS,THEFT/OTHER,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,397577.63,143785.94,4,4A,4,402,Cluster 17,001804 2,001804,Precinct 60,38.9619795615,-77.0279498335,,2025/03/30 01:46:00+00,,710894325,
400436.0625,135043.815099999,25045886,2025/03/30 16:44:38+00,DAY,OTHERS,MOTOR VEHICLE THEFT,400 - 499 BLOCK OF 8TH STREET SE,400436.062494358,135043.815098751,6,6B,1,106,Cluster 26,007000 2,007000,Precinct 90,38.8832309303,-76.9949741689,CAPITOL HILL,2025/03/30 16:06:00+00,2025/03/30 16:40:00+00,710894326,
399855.240000002,137532.120000001,25045954,2025/03/30 19:03:48+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,300 - 308 BLOCK OF M STREET NE,399855.24,137532.12,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,38.9056465911,-77.0016689533,NOMA,2025/03/30 18:36:00+00,2025/03/30 19:00:00+00,710894327,
399599.039300002,129362.821699999,25046292,2025/03/31 12:14:46+00,DAY,GUN,ASSAULT W/DANGEROUS WEAPON,100 - 199 BLOCK OF YUMA STREET SE,399599.039325581,129362.821685479,8,8D,7,707,Cluster 39,009803 2,009803,Precinct 124,38.8320541494,-77.0046179534,,2025/03/31 06:41:00+00,2025/03/31 10:22:00+00,710894328,
397609.07,136611.34,25046439,2025/03/31 17:06:48+00,DAY,KNIFE,ASSAULT W/DANGEROUS WEAPON,1100 - 1199 BLOCK OF F STREET NW,397609.07,136611.34,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,38.8973486375,-77.0275620781,DOWNTOWN,2025/03/31 14:52:00+00,2025/03/31 15:00:00+00,710894329,
401701.350000001,136862.760000002,25046483,2025/03/31 17:22:42+00,DAY,OTHERS,THEFT/OTHER,1516 - 1699 BLOCK OF BENNING ROAD NE,401701.35,136862.76,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.8996151246,-76.9803866148,,2025/03/31 16:51:00+00,2025/03/31 17:20:00+00,710894330,
404084.549999997,139109.41,25046671,2025/04/01 20:58:04+00,EVENING,OTHERS,THEFT/OTHER,2400 - 2499 BLOCK OF MARKET STREET NE,404084.55,139109.41,5,5C,5,503,Cluster 24,009000 3,009000,Precinct 139,38.9198458716,-76.9528994141,,2024/11/07 05:00:00+00,,710894331,
404296.109999999,135044.41,25046686,2025/03/31 22:54:57+00,EVENING,OTHERS,ROBBERY,3700 - 3710 BLOCK OF ELY PLACE SE,404296.11,135044.41,7,7F,6,603,Cluster 32,007703 3,007703,Precinct 107,38.8832259018,-76.9504852562,,2025/03/31 19:22:00+00,2025/03/31 19:26:00+00,710894332,
397886.890000001,139847.0,25047955,2025/04/03 03:26:25+00,MIDNIGHT,OTHERS,SEX ABUSE,700 - 999 BLOCK OF GRESHAM PLACE NW,397886.89,139847,1,1E,3,304,Cluster 2,003500 1,003500,Precinct 37,38.9264972701,-77.0243693919,,2025/04/02 14:00:00+00,2025/04/02 15:00:00+00,710894333,
401859.920000002,136161.829999998,25054415,2025/04/15 03:16:56+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1800 - 1819 BLOCK OF C STREET NE,401859.92,136161.83,7,7D,5,507,Cluster 25,007901 2,007901,Precinct 81,38.8933005709,-76.9785604969,,2025/04/15 02:28:00+00,,710894556,
401418.152500004,135209.9692,25054611,2025/04/15 17:07:51+00,DAY,OTHERS,THEFT F/AUTO,300 - 399 BLOCK OF 15TH STREET SE,401418.152479269,135209.969242905,7,7D,1,107,Cluster 26,006802 1,006802,Precinct 87,38.884726675,-76.9836547643,,2025/04/15 13:00:00+00,2025/04/15 16:44:00+00,710894557,
402921.899999999,139596.82,25044352,2025/03/28 01:23:11+00,EVENING,OTHERS,THEFT/OTHER,2615 - 2699 BLOCK OF BLADENSBURG ROAD NE,402921.9,139596.82,5,5C,5,503,Cluster 24,011100 1,011100,Precinct 71,38.9242412524,-76.9663043219,,2025/03/28 00:46:00+00,2025/03/28 01:05:00+00,710896264,
396754.189999998,139785.859999999,25044607,2025/03/28 14:36:26+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1610 - 1638 BLOCK OF COLUMBIA ROAD NW,396754.19,139785.86,1,1C,3,303,Cluster 1,003901 1,003901,Precinct 35,38.9259430478,-77.037431938,ADAMS MORGAN,2025/03/28 13:32:00+00,2025/03/28 14:40:00+00,710896265,
397172.770000003,138305.390000001,25045848,2025/03/30 15:29:29+00,DAY,OTHERS,THEFT F/AUTO,1400 - 1425 BLOCK OF R STREET NW,397172.77,138305.39,2,2F,3,301,Cluster 7,005202 3,005202,Precinct 16,38.9126079375,-77.0325986149,,2025/03/30 07:00:00+00,2025/03/30 13:00:00+00,710896655,
401104.159999996,138229.219999999,25045936,2025/03/30 19:05:48+00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,1800 - 1899 BLOCK OF CORCORAN STREET NE,401104.16,138229.22,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9119256261,-76.9872689022,,2025/03/30 17:31:00+00,,710896656,
397430.809299998,137532.654599998,25046036,2025/03/31 00:40:17+00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,13TH STREET NW AND M STREET NW,397430.80933957,137532.65462106,2,2F,3,307,Cluster 8,005003 2,005003,Precinct 17,38.9056476642,-77.029620471,,2025/03/30 21:00:00+00,2025/03/31 00:01:00+00,710896657,
402520.681500003,132578.767299999,25046425,2025/04/03 21:47:01+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2300 - 2399 BLOCK OF SKYLAND PLACE SE,402520.681472292,132578.767320464,8,8B,7,702,Cluster 36,007502 1,007502,Precinct 134,38.8610212842,-76.9709569671,,2025/03/29 05:00:00+00,2025/03/30 05:00:00+00,710896658,
397921.520000003,138712.809999999,25046889,2025/04/01 05:37:28+00,MIDNIGHT,OTHERS,ROBBERY,1900 - 1999 BLOCK OF 9TH STREET NW,397921.52,138712.81,1,1B,3,305,Cluster 3,004402 2,004402,Precinct 137,38.9162802028,-77.0239665883,,2025/04/01 04:08:00+00,2025/04/01 05:30:00+00,710896659,
